Function Name,Category,Purpose (1 line),Invoked By / Menu,Input Parameters,Output / Returns,Side Effects,Errors & Fixes,Related Functions,Notes
getOrCreateTempFolder_,Drive Access,Find or create the temp folder (_GR_AUTOMATION_TEMP) for converted sheets,processSingleFile_(); cleanupTempFiles(),None,Folder object (Google Drive API) for temp folder,Calls findFolder_ for temp folder; creates if missing (with exact name CONFIG.tempFolderName),Folder creation fails → Permission denied on Drive; Verify you can create folders,findFolder_; isTempArtifactName_; cleanupTempFiles,Auto-creates if missing; safe to call anytime; used for storing temporary converted Google Sheets
isTempArtifactName_,Drive Utility,Check if a file name matches temp artifact naming pattern (_TEMP_ prefix),cleanupTempFiles(); file filtering logic,name (string): file name to check,Boolean: true if name looks like temp artifact (starts with _TEMP_); false otherwise,Simple string prefix check,False positive (real file starts with _TEMP_) → Rename real file to avoid confusion,getOrCreateTempFolder_,Used to identify temp files for cleanup; be careful not to name real files _TEMP_...
normalizeLookupKey_,Text Normalization,Normalize text for lookup/matching (lowercase; trim; remove extra spaces),Header matching; enrichment lookups; duplicate detection,v (string): text to normalize,String: normalized (lowercase; trimmed; spaces collapsed),Converts to lowercase; trims; collapses multiple spaces to single space,Always returns empty → Input was empty/null; check upstream source,normalizeFileKey_; normalizePlaLookupKey_; normalizeDriveUrlForKey_; detectHeaderRowAndMap_; createColumnMapping_,Used throughout for consistent text comparison; improves matching accuracy
normalizeFileKey_,Text Normalization,Normalize filename for duplicate detection (lowercase; remove special chars; collapse spaces),loadProcessedMap_(); appendTrackerRowIfNotDuplicate_(),name (string): filename to normalize,String: normalized filename (lowercase; special chars removed; spaces collapsed),More aggressive than normalizeLookupKey_; removes punctuation; used for file matching,Over-aggressive (valid distinctions lost) → Rare; improves matching by removing punctuation artifacts,normalizeLookupKey_; extractDriveIdFromUrl_; loadProcessedMap_,Helps catch duplicate files with slightly different names
normalizePlaLookupKey_,Text Normalization,Normalize PLA lookup data (text from lookup sheet cells),loadPlaLookupMap_(); getEnrichmentForRow_(),v (string): lookup cell value to normalize,String: normalized,Applied to PLA ID and lookup values for case-insensitive matching,Over-aggressive → Check if important distinctions are lost; rare issue,normalizeLookupKey_; normalizeDriveUrlForKey_,Ensures PLA lookup is case-insensitive; improves matching
normalizeDriveUrlForKey_,Text Normalization,Normalize Drive URLs for duplicate detection (remove query params; standardize format),loadProcessedMap_(); appendTrackerRowIfNotDuplicate_(),url (string): Drive URL to normalize,String: normalized URL (consistent scheme; no query params),Strips query parameters; standardizes URL format; used for matching files by URL,URL not recognized → Check if it's a valid Drive file URL; may have unusual format,extractDriveIdFromUrl_; normalizeLookupKey_; loadProcessedMap_,Handles URL variations (www vs. non-www; query params; etc.); improves duplicate detection
extractDriveIdFromUrl_,Text Parsing,Extract Google Drive file ID from a Drive URL,buildFileUrlMapByName_(); enrichment; file matching logic,url (string): Drive URL,"String: file ID (e.g.; ""1aBcDeFgHiJkLmNoPqRsTuVwXyZ""); or null if not found",Uses regex to extract ID from URL patterns; returns null if no ID found,ID not extracted → URL may be invalid or in unexpected format; check URL,normalizeLookupKey_; normalizeDriveUrlForKey_,Standardizes file identification across different URL formats
extractUrlFromHyperlinkFormula_,Text Parsing,Extract URL from a Google Sheet HYPERLINK formula,fixSourceFileHyperlinksNow(); normalizeTrackerFileLinkColumnNow(); backfill logic,formula (string): HYPERLINK formula string,String: URL extracted from formula; or original formula if not a HYPERLINK,Parses HYPERLINK(url; label) format; extracts URL; returns original if not a HYPERLINK,URL not extracted → Formula may be non-standard; check format manually,formatCellByHeader_; appendRowsWithSourceLink_,Useful for backfill/repair; handles both formula and plain-text links
buildFileUrlMapByName_,Drive Utility,Build a map of filename → file object for quick lookups,backfillMissingSourceLinks_(); file matching logic,folder (Folder): Drive folder to scan,"Object: {filename → File object}; example: {""GR_REQUEST_2025.xlsx"": {id; url; ...}}",Iterates folder; builds map keyed by filename; used for matching output rows back to source files,Map incomplete → Folder may have many files; only first N files indexed; improve by caching more,backfillMissingSourceLinks_; findFolder_,Used for backfill matching; faster than searching Drive for each row
ensurePerfSheetExists_,Sheet Management,"Ensure """"GR Automation Perf"""" sheet exists; create if missing",logPerfEntry_() on first performance log,None,None (sheet created if needed),"Creates ""GR Automation Perf"" sheet if missing; adds header row with column names",Sheet creation fails → Permission denied; verify you can edit spreadsheet,logPerfEntry_,Performance sheet: logs conversion; open; parse; append times for each file; useful for diagnostics
normalizeText_,Text Normalization,Normalize arbitrary text (lowercase; trim),Header detection; column name matching; other comparisons,v (string): text to normalize,String: normalized (lowercase; trimmed),Simpler than normalizeLookupKey_; just lowercase and trim,Empty result → Input was empty; check upstream,normalizeLookupKey_; normalizeFileKey_; createColumnMapping_; detectHeaderRowAndMap_,Basic normalization; used throughout for text comparison
isManagedServices_,Data Classification,Detect if a row is a Managed Services row (special territory/OPEX handling),getEnrichmentForRow_(); enrichment logic,materialDesc (string): Material Description; serviceShortText (string): PO Service Short Text,Boolean: true if row appears to be Managed Services; false otherwise,Checks for keywords (SERVICE; MAINTENANCE; SUPPORT; etc.) in columns; heuristic-based,False positive → Keyword detected in non-service row; check enrichment output,getEnrichmentForRow_; isOpexWbs_,Managed Services rows often have no territory (OPEX); this flag adjusts enrichment
isOpexWbs_,Data Classification,Detect if WBS Element indicates OPEX (Operational Expenditure),getEnrichmentForRow_(); enrichment logic,wbsValue (string): WBS Element column value,Boolean: true if WBS looks like OPEX; false otherwise,"Checks if WBS starts with """"OPEX"""" or matches OPEX pattern; heuristic",False positive → Non-OPEX WBS detected as OPEX; check enrichment output; review WBS naming convention,getEnrichmentForRow_; isManagedServices_,OPEX entries have special handling; may not have territory
isPhpCurrency_,Currency Detection,Detect if currency code/text indicates PHP,toUsdIfPhp_(); enrichment logic,"currencyValue (string): currency text (e.g.; ""PHP""; ""php""; ""₱"")",Boolean: true if PHP detected; false otherwise,Checks multiple PHP representations (PHP; php; ₱ symbol; etc.),"False positive → Currency name contains """"php"""" but not PHP (rare); check output",toUsdIfPhp_; isUsdCurrency_; isEurCurrency_,Used for currency conversion; improves flexibility in currency input
isUsdCurrency_,Currency Detection,Detect if currency code/text indicates USD,toUsdIfPhp_(); enrichment logic; formatCellByHeader_(),"currencyValue (string): currency text (e.g.; ""USD""; ""usd""; ""$"")", Boolean: true if USD detected; false otherwise,Checks multiple USD representations,"False positive (rare) → Currency name contains """"usd"""" but not USD; check output",toUsdIfPhp_; isPhpCurrency_; isEurCurrency_,If USD: no conversion applied (amount stays as-is)
isEurCurrency_,Currency Detection,Detect if currency code/text indicates EUR,toUsdIfPhp_(); enrichment logic,"currencyValue (string): currency text (e.g.; ""EUR""; ""eur""; ""€"")",Boolean: true if EUR detected; false otherwise,Checks multiple EUR representations,"False positive (rare) → Currency name contains """"eur"""" but not EUR; check output",toUsdIfPhp_; isPhpCurrency_; isUsdCurrency_,If EUR: converted to USD using CONFIG.usdConversionRate
parseAmount_,Number Parsing,Parse an amount value (handle text; currency symbols; commas; etc.),Cell formatting; enrichment logic; amount fallback,v (any): value to parse (number; string; currency text),Number: parsed amount; or NaN if unparseable,Removes currency symbols (PHP; €; $; etc.); removes commas; converts to number,"NaN result → Value is non-numeric (e.g.; """"N/A""""; """"TBD""""); acceptable; amount left blank",formatCellByHeader_; applyAmountFallback_; toUsdIfPhp_,Flexible parsing; handles various amount formats
shouldSkipFileForPerformance_,File Filtering,Check if file should be skipped due to size (> 10 MB),listCandidateFilesByYear_(); file filtering logic,file (File): Google Drive file object,Boolean: true if file > 10 MB (skip); false if <= 10 MB (process),Checks file size; returns true if > 10MB threshold,Size check fails → File size unavailable from Drive API (rare); assume safe to process,listCandidateFilesByYear_; processSingleFile_,10 MB threshold prevents Drive API conversion timeouts; users can split large files or adjust threshold in CONFIG
extractMonthFromDate_,Date Parsing,Extract full month name from a Date object,backfillTrackerMonthsNow(); detectYearFromNameOrFileDate_(),dateObj (Date): JavaScript Date object,"String: full month name (e.g.; ""January""; ""February""; ""March"")",Converts month number to English month name; returns empty if date invalid,Empty result → Date object invalid; check upstream source,backfillTrackerMonthsNow; detectYearFromNameOrFileDate_,Used for tracker Month column; improves reporting/filtering
writeConfigMapping_,Configuration,Write a year→sheet→spreadsheet mapping to GR Automation Config sheet,addConfiguredYear(); setup logic,year (number): year to add; sheetName (string): target sheet name; spreadsheetId (string): target spreadsheet ID/URL,None (row appended to config),"Appends row to ""GR Automation Config"" sheet; clears config cache",Write fails → Permission denied on Config sheet; verify you can edit,addConfiguredYear; clearConfigMappingsCache_; readConfigMappings_,Used for multi-year multi-spreadsheet setup
getOutputSheetNameForYear,Configuration,Get the output sheet name for a given year (default or configured),findOutputSheetByYear_(); multi-spreadsheet routing,year (number): year to look up,"String: sheet name (e.g.; ""GR Posted 2025""); or null if not found/configured",Looks up in readConfigMappings_() first; fallback to CONFIG.outputSheets,Null result → Year not in config and not in CONFIG.outputSheets; add configuration,writeConfigMapping_; readConfigMappings_; findOutputSheetByYear_,Supports both default (CONFIG.outputSheets) and custom mappings (GR Automation Config)
countMappedHeaders_,Header Analysis,Count how many expected column headers are present in a given header row,evaluateSheetCandidate_(); header validation,columnMap (Object): column mapping {header name → index}; headers (Array): raw header values from row,Number: count of matched expected columns,Iterates expected columns; checks if present in header row; counts matches,Low count → Few expected columns match; likely wrong sheet,evaluateSheetCandidate_; detectHeaderRowAndMap_; createColumnMapping_,Used for sheet scoring; sheets with more header matches are preferred
getSpreadsheet_,Spreadsheet Access,Get the bound spreadsheet object (main controller spreadsheet),consolidateGRTemplateData(); ensureSheets_(); onOpen(); many functions,None,SpreadsheetApp object for bound spreadsheet,Returns the spreadsheet the script is bound to,Fails if script not bound to spreadsheet (rare); verify in Apps Script project settings,ensureSheets_; findOutputSheetByYear_; appendTrackerRowIfNotDuplicate_,Fundamental function; used to access main control spreadsheet
getConfiguredYearsForUi,Configuration,Get list of configured years for year picker menu,showYearPicker(); menu building,None,Array: [2025; 2026; ...]; based on CONFIG.outputSheets keys,Returns configured years; shown in year picker modal,Empty array → CONFIG.outputSheets is empty; add years to CONFIG,getConfiguredYears_,Used by UI to populate year dropdown menu
clearConfigMappingsCache_,Cache,Clear the in-memory config mapping cache,writeConfigMapping_(); after config changes,None,None (cache cleared),Resets _CACHE.configMappings to null; forces reload on next call,Cache invalidation edge case (rare) → Config changes not reflected; manually call clearConfigMappingsCache_(); reload,getConfigMappingsCached_,Cache improves performance; clear when config changes
getLookupMapCached_,Cache,Get cached PLA Lookup map (with optional force refresh),getEnrichmentForRow_(); enrichment logic,ss (Spreadsheet): spreadsheet containing PLA Lookup; force (boolean): true to bypass cache,Object: {PLA ID → lookup data}; or {} if not found,Returns cached map or loads fresh if cache miss or force=true; caches per spreadsheet ID,Cache stale (lookup data changed) → Either wait for new run (cache clears per file) or call with force=true,loadPlaLookupMap_; clearPlaLookupMapCache_,Caching improves performance; cache is scoped per spreadsheet ID
clearPlaLookupMapCache_,Cache,Clear cached PLA Lookup maps (all or for one spreadsheet),After lookup sheet updates; refreshing data,ss (Spreadsheet): optional; if provided; clears only that SS's cache; if null; clears all,None (cache cleared),Resets _CACHE.plaLookupMapBySsId; full or partial clear depending on parameter,Cache never refreshed → May indicate cache not being cleared after updates; manually call after modifying PLA Lookup,getPlaLookupMapCached_,Use when PLA Lookup data changes mid-run
extractRowsByAnchors_,Row Extraction,Extract rows using anchor column detection (find start/end of data block by looking for anchor columns),parseConvertedSheet_(); advanced row extraction,startRow; endRow (number): row range; columnMap; anchorColumnIndices (Array); rawValues; sheet,Array: extracted rows between anchors,Advanced row extraction using anchor columns (e.g.; rows starting with PO No. and ending with a key column),No rows extracted → Anchors may not be appropriate; fallback to simpler extraction,extractRowsWithFilter_; detectHeaderRowAndMap_,More sophisticated than simple row filtering; useful for complex spreadsheet layouts
buildProcessList_,File Discovery,Take candidate files grouped by year and build final processing queue respecting limits,consolidateGRTemplateData(),candidates (Object): {year → [fileInfo]}; limits: maxFilesPerRunTotal; maxFilesPerRunPerYear,Array: [fileInfo; fileInfo; ...]; final list of files to process in this run,Flattens candidates; respects per-year and total limits; returns final list,Empty list → All candidates filtered out; may have no new files or all files failed too many times,listCandidateFilesByYear_; consolidateGRTemplateData,Ensures processing respects limits and prevents timeouts
